title,text,genres
Book Title 338,"This is a sample text of the book, providing a brief overview of its content and themes.",memoir
Book Title 375,"This is a sample text of the book, providing a brief overview of its content and themes.",horror
Book Title 121,"This is a sample text of the book, providing a brief overview of its content and themes.","mystery, biography, non-fiction"
Book Title 166,"This is a sample text of the book, providing a brief overview of its content and themes.",adult
Book Title 334,"This is a sample text of the book, providing a brief overview of its content and themes.","paranormal, literary-fiction, writing"
Book Title 606,"This is a sample text of the book, providing a brief overview of its content and themes.",urban-fantasy
Book Title 151,"This is a sample text of the book, providing a brief overview of its content and themes.","speculative-fiction, mystery-thriller, magic"
Book Title 748,"This is a sample text of the book, providing a brief overview of its content and themes.","family, dystopia"
Book Title 131,"This is a sample text of the book, providing a brief overview of its content and themes.","religion, thriller, poetry"
Book Title 72,"This is a sample text of the book, providing a brief overview of its content and themes.","suspense, science-fiction"
Book Title 806,"This is a sample text of the book, providing a brief overview of its content and themes.","history, young-adult"
Book Title 177,"This is a sample text of the book, providing a brief overview of its content and themes.","supernatural, high-school"
Book Title 352,"This is a sample text of the book, providing a brief overview of its content and themes.","mystery, action, mystery-thriller"
Book Title 414,"This is a sample text of the book, providing a brief overview of its content and themes.",paranormal-romance
Book Title 664,"This is a sample text of the book, providing a brief overview of its content and themes.",historical
Book Title 928,"This is a sample text of the book, providing a brief overview of its content and themes.","psychology, politics, high-school"
Book Title 310,"This is a sample text of the book, providing a brief overview of its content and themes.","biography, 21st-century, fantasy"
Book Title 740,"This is a sample text of the book, providing a brief overview of its content and themes.",christian
Book Title 31,"This is a sample text of the book, providing a brief overview of its content and themes.",essays
Book Title 616,"This is a sample text of the book, providing a brief overview of its content and themes.",suspense
Book Title 353,"This is a sample text of the book, providing a brief overview of its content and themes.","christian, relationships, speculative-fiction"
Book Title 979,"This is a sample text of the book, providing a brief overview of its content and themes.","amazon, dystopia, speculative-fiction"
Book Title 454,"This is a sample text of the book, providing a brief overview of its content and themes.","psychology, 20th-century, 21st-century"
Book Title 664,"This is a sample text of the book, providing a brief overview of its content and themes.",short-stories
Book Title 764,"This is a sample text of the book, providing a brief overview of its content and themes.","21st-century, paranormal"
Book Title 471,"This is a sample text of the book, providing a brief overview of its content and themes.","graphic-novels, relationships, poetry"
Book Title 772,"This is a sample text of the book, providing a brief overview of its content and themes.","crime, roman"
Book Title 52,"This is a sample text of the book, providing a brief overview of its content and themes.","american, memoir, read-for-school"
Book Title 28,"This is a sample text of the book, providing a brief overview of its content and themes.","amazon, childrens, literature"
Book Title 809,"This is a sample text of the book, providing a brief overview of its content and themes.","writing, mystery-thriller"
Book Title 274,"This is a sample text of the book, providing a brief overview of its content and themes.","20th-century, dark, college"
Book Title 163,"This is a sample text of the book, providing a brief overview of its content and themes.",chick-lit
Book Title 852,"This is a sample text of the book, providing a brief overview of its content and themes.",humor
Book Title 770,"This is a sample text of the book, providing a brief overview of its content and themes.","drama, suspense"
Book Title 51,"This is a sample text of the book, providing a brief overview of its content and themes.","school, poetry"
Book Title 654,"This is a sample text of the book, providing a brief overview of its content and themes.","travel, fantasy, poetry"
Book Title 274,"This is a sample text of the book, providing a brief overview of its content and themes.","relationships, contemporary"
Book Title 573,"This is a sample text of the book, providing a brief overview of its content and themes.","urban-fantasy, supernatural, mythology"
Book Title 756,"This is a sample text of the book, providing a brief overview of its content and themes.","speculative-fiction, writing, mystery"
Book Title 518,"This is a sample text of the book, providing a brief overview of its content and themes.","sociology, theology"
